agenda_id,nombre_original_agenda,doctor,area,tipo_turno,dia,hora_inicio,hora_fin,efector
HCSI_001_ALERGIA,"ALERGIA - CASTRO ,ELIZABETH",ELIZABETH CASTRO,ALERGIA,PROGRAMADA,Jueves,13:00,18:00,HCSI
HCSI_002_ALERGIA,"ALERGIA - CASTRO ,ELIZABETH",ELIZABETH CASTRO,ALERGIA,PROGRAMADA,Miércoles,14:00,18:00,HCSI
HCSI_003_ALERGIA,"ALERGIA - LOPEZ ,NATALIA",NATALIA LOPEZ,ALERGIA,PROGRAMADA,Jueves,14:30,18:30,HCSI
HCSI_004_ALERGIA,"ALERGIA - LOPEZ ,NATALIA",NATALIA LOPEZ,ALERGIA,PROGRAMADA,Miércoles,14:30,18:30,HCSI
HCSI_005_ALERGIA,"ALERGIA - LOPEZ ,NATALIA",NATALIA LOPEZ,ALERGIA,PROGRAMADA,Viernes,14:00,18:00,HCSI
HCSI_006_ANESTESIOLOGIA,ANESTESIOLOGIA - PRE QUIRURGICO - CONSULTORIO 23,CONSULTORIO 23,ANESTESIOLOGIA,PROGRAMADA,Jueves,14:00,17:00,HCSI
HCSI_007_ANESTESIOLOGIA,ANESTESIOLOGIA - PRE QUIRURGICO - CONSULTORIO 23,CONSULTORIO 23,ANESTESIOLOGIA,PROGRAMADA,Martes,14:00,17:00,HCSI
HCSI_008_ANESTESIOLOGIA,ANESTESIOLOGIA - PRE QUIRURGICO - QUIROFANO,QUIROFANO,ANESTESIOLOGIA,PROGRAMADA,Lunes,14:00,15:15,HCSI
HCSI_009_CARDIOLOGIA,"CARDIOLOGIA - A LA BREVEDAD - PASCUCCI ,DAMIAN",DAMIAN PASCUCCI,CARDIOLOGIA,PROGRAMADA,Jueves,11:00,12:00,HCSI
HCSI_010_CARDIOLOGIA,"CARDIOLOGIA - A LA BREVEDAD - PIZZORNO ,AGUSTINA ELENA",AGUSTINA ELENA PIZZORNO,CARDIOLOGIA,PROGRAMADA,Miércoles,08:00,09:00,HCSI
HCSI_011_CARDIOLOGIA,CARDIOLOGIA - ECG - ECG,ECG,CARDIOLOGIA,PROGRAMADA,Jueves,08:00,11:30,HCSI
HCSI_012_CARDIOLOGIA,CARDIOLOGIA - ECG - ECG,ECG,CARDIOLOGIA,PROGRAMADA,Jueves,13:00,18:00,HCSI
HCSI_013_CARDIOLOGIA,CARDIOLOGIA - ECG - ECG,ECG,CARDIOLOGIA,PROGRAMADA,Lunes,08:00,11:30,HCSI
HCSI_014_CARDIOLOGIA,CARDIOLOGIA - ECG - ECG,ECG,CARDIOLOGIA,PROGRAMADA,Lunes,13:30,16:30,HCSI
HCSI_015_CARDIOLOGIA,CARDIOLOGIA - ECG - ECG,ECG,CARDIOLOGIA,PROGRAMADA,Martes,08:00,11:30,HCSI
HCSI_016_CARDIOLOGIA,CARDIOLOGIA - ECG - ECG,ECG,CARDIOLOGIA,PROGRAMADA,Martes,13:00,18:00,HCSI
HCSI_017_CARDIOLOGIA,CARDIOLOGIA - ECG - ECG,ECG,CARDIOLOGIA,PROGRAMADA,Miércoles,08:00,11:30,HCSI
HCSI_018_CARDIOLOGIA,CARDIOLOGIA - ECG - ECG,ECG,CARDIOLOGIA,PROGRAMADA,Miércoles,13:00,18:00,HCSI
HCSI_019_CARDIOLOGIA,CARDIOLOGIA - ECG - ECG,ECG,CARDIOLOGIA,PROGRAMADA,Viernes,08:00,11:30,HCSI
HCSI_020_CARDIOLOGIA,CARDIOLOGIA - ECG - ECG,ECG,CARDIOLOGIA,PROGRAMADA,Viernes,13:00,18:00,HCSI
HCSI_021_CARDIOLOGIA,CARDIOLOGIA - ECG - PREOCUPACIONAL,PREOCUPACIONAL,CARDIOLOGIA,PROGRAMADA,Jueves,08:00,11:00,HCSI
HCSI_022_CARDIOLOGIA,CARDIOLOGIA - ECG - PREOCUPACIONAL,PREOCUPACIONAL,CARDIOLOGIA,PROGRAMADA,Lunes,08:00,11:00,HCSI
HCSI_023_CARDIOLOGIA,CARDIOLOGIA - ECG - PREOCUPACIONAL,PREOCUPACIONAL,CARDIOLOGIA,PROGRAMADA,Martes,08:00,11:00,HCSI
HCSI_024_CARDIOLOGIA,CARDIOLOGIA - ECG - PREOCUPACIONAL,PREOCUPACIONAL,CARDIOLOGIA,PROGRAMADA,Miércoles,08:00,11:00,HCSI
